Title,Image,Avatar_URL,crvsd,ui_header_link,default,phmbo,phmbo1,dmrsr,dmrsr2,dmrsr3,qwuub_URL,qwuub,tehyy,xcjrc,Rating
"If you’re a foreigner like me (American), I’d strongly caution everyone to not have business with Kenya Airways!

I had a canceled flight (from Kigali to Nairobi) and filed all proper procedures for refund since August 5, 2022. Since then, I’ve had several back and forth to their office and until today November 14, they have not issued my refund ( in the hundreds of $). Every time I talk to them, it’s the same false promise!

This airline has no accountability, especially when dealing with foreigners. Once they have your money in their country, it’s gone! I’d not recommend anyone to trust these thieves",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e8/5b/default-avatar-2020-61.jpg,https://www.tripadvisor.com/Profile/moustomh,Moustapha wrote a review Nov 2022,Moustapha,"Hyde Park, Illinois",1 contribution,,Kigali - Nairobi,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r868443134-Kenya_Airways-World.html,SCAMMERS,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
Great service and friendly staff most of all Belinda and Calvin so friendly and Fit for that...kudos guys even if the flight got delayed..cabin crew made our flight amazing and enjoyable.Highly recommended.,https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f3/23/default-avatar-2020-28.jpg,https://www.tripadvisor.com/Profile/Sammynene01,Samuel Nene wrote a review Oct 2022,Samuel Nene,,1 contribution,,Nairobi - Dubai,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r866048243-Kenya_Airways-World.html,Amazing Belinda and Calvin,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
"As a proud Kenyan it was my first time on board and there was a lot of teething as a business class member. My seat  was permanently not adjusting, which lead me to change to another seat thinking it was better. Sadly the screen was not even operating. Regardless off that i enjoyed the service of Betty and some other staff  I cant remember the names!. During check in at JKIA it was so embarrassing for a as a Business class member to be open all of my baggage in front of all people, while the other business class member walked freely. It is completely unexpectable. The duty free that your up selling in the systems its totally different price from the magazine ones, please do update!  Thank you hoping to catch a flight with you guys soon!",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f0/48/default-avatar-2020-15.jpg,https://www.tripadvisor.com/Profile/Gong1995,Sean Wachira wrote a review Oct 2022,Sean Wachira,,1 contribution,,Dubai - Nairobi,International,Business Class,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r864651693-Kenya_Airways-World.html,Flight operations,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_30
"My Thai husband and I were planning on traveling from Bangkok (where we live) to my home city of Cape Town. It would have been his first-ever flight for the Songkran break in 2020 and we booked Kenya Airways. It would have been my first flight with them as I have only ever flown with other airlines such as Etihad or Emirates. That was our first mistake. We were excited about the trip but then COVID hit and all flights were cancelled. We were given the option to rebook for later that year which we did, and booked for December, thinking that it should be better by then, our second mistake. When it did not get better and still there were no flights, we were given the option of cancelling and getting a refund or taking the voucher to use within two years. We chose the voucher (our third mistake) thinking that we were going to be able to use it. Fast forward to the beginning of this year. I have learned that Kenya  Airways no longer flies to and from Bangkok and they do not have a branch here anymore. I have been trying to get the refund of the vouchers. I have emailing back and forth with customer service for months and everytime they say they will check with the relevant department and get back to me but they never do. It was not our fault that COVID disrupted everything yet it seems that they have no one working at Kenya Airways because no one knows what the status of the refund is. DO NOT BOOK WITH THIS AIRLINE!!!! Very poor service and do not try to get a refund from them, you will lose your money. In future, I will pay a little more and book with a better airline.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e4/a9/default-avatar-2020-50.jpg,https://www.tripadvisor.com/Profile/bronproc,Bronwyn P wrote a review Oct 2022,Bronwyn P,"Bangkok, Thailand",1 contribution,,Bangkok - Cape Town Central,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r864339651-Kenya_Airways-World.html,Extremely bad service,Date of travel: November 2021,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"My wife and myself flew from Nairobi to Zanzibar after having finished a 2 weeks Safari in Kenya. The entire trip including Zanzibar stay of was pre-booked and paid for about a year ago, most of it, as the accommodations, non-refundable. Hence I boosted my travel insurance, included all “ifs” and bumped it to 15k USD, just in case.

However, all went very well except for one issue, and that was with Kenya Airways. The ticket to Zanzibar on Sept 18th with flight KQ 494 was booked and paid 9 months in advance, flight departure 18:20.
Long story short: that flight was cancelled for operational reasons as Kenya Airways said, the notification likely ended up in the SPAM as I never got it. The airline did not send out any SMS (that would come with a failure of delivery if not received) despite my number on record and permission to contact via phone. Hence I noticed the change 1 day in advance when checking the flight. More so, Kenya Airways had changed our booking to a flight next morning, despite an evening option available. Now, it’s not hard to guess that this would cause issues because barely any traveler, business or personal, does NOT have a booked agenda in post-Corona times. The other evening flight option however was fully booked by the time the problem was noticed as it turned out. Result: a lost expensive overnight stay in Stone town, and a dinner with friends.
Once arrived at the Airport on the original departure day, the customer service agent of Kenya Airways at the airport was extremely arrogant and very commanding as if the entire issue was our fault. Absolute exceptionally bad experience here on top of our interrupted vacation. While we did receive an voucher for overnight stay in Nairobi, the entire action and communication around it was not acceptable. I have Senator Status with LH and do fly quite a bit. Things go wrong and did so for me too, but this attitude of an Airline employee was new to us.

Kenya Airline declines responsibility despite the change for operational reasons and keeps sending me articles of the policy to say they don’t pay. Due to pre-booking, no refund for the lost stay by the hotel in Stone town or my travel agency and despite all bells and whistles in my travel insurance: if it is not force majeure but due the Airline's changes, the Airline is responsible. No travel insurance would apparently ever pay here.

So to all travelers: pay attention here, there is many other airlines I know with a lot better customer service and much more flexible policies when it comes down to issue. Everyone can do great when there is no problem, the value of an Airline shows when problems come up. The entire behavior of Kenya Airlines and in particular the customer service agent on top of all the hassle anyway is just totally unacceptable. This was the first and for sure last time. At least in and around Kenya and Tanzania try Precision Air as an alternative. As I still believe the originator of the problem will have to bear the consequences, I will continue and pursue ways to get my refund.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e9/bb/default-avatar-2020-65.jpg,https://www.tripadvisor.com/Profile/UWadlinger,UWadlinger wrote a review Oct 2022,UWadlinger,"Frankfurt, Germany",36 contributions,16 helpful votes,Nairobi - Zanzibar Island,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r863820469-Kenya_Airways-World.html,"When it comes to problems, the ""real service"" and quality shows",Date of travel: September 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_20
"If you’re a foreigner like me (American), I’d strongly caution everyone to not have business with Kenya Airways!

I had a canceled flight (from Kigali to Nairobi) and filed all proper procedures for refund since August 5, 2022. Since then, I’ve had several back and forth to their office and until today November 14, they have not issued my refund ( in the hundreds of $). Every time I talk to them, it’s the same false promise!

This airline has no accountability, especially when dealing with foreigners. Once they have your money in their country, it’s gone! I’d not recommend anyone to trust these thieves",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e8/5b/default-avatar-2020-61.jpg,https://www.tripadvisor.com/Profile/moustomh,Moustapha wrote a review Nov 2022,Moustapha,"Hyde Park, Illinois",1 contribution,,Kigali - Nairobi,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r868443134-Kenya_Airways-World.html,SCAMMERS,Date of travel: November 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
Pleasantly surprised with this airline. Service was good. Smooth landing; the pilots seem very competent. I would fly again with this airline.,,https://www.tripadvisor.com/Profile/stiofana,stiofan A wrote a review Oct 2022,stiofan A,,5 contributions,,London - Nairobi,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r863726265-Kenya_Airways-World.html,Pleasantly surprised,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
"Kenyan Airways cancelled their own flight and when we asked for a refund they said no. We were trying to get to Kenya and when asked if there were other flights or other options, they just said there was nothing that they could do. They didn't offer us a hotel, a different flight, etc. Just a middle finger and a OH we are keeping your money. Garbage company!",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f0/9f/default-avatar-2020-16.jpg,https://www.tripadvisor.com/Profile/bradmS1434JV,Brad M wrote a review Oct 2022,Brad M,"San Dimas, California",8 contributions,,New York City - Amboseli Eco-system,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r863181975-Kenya_Airways-World.html,They cancelled their flight and won't give a refund,Date of travel: August 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"Never ever use this airline , absolutely disgusting the way they treat passengers, left us in Cape Town with no customer service a 14 hr flight turned into 48 hours",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e2/11/default-avatar-2020-41.jpg,https://www.tripadvisor.com/Profile/746trudyw,Trudy W wrote a review Oct 2022,Trudy W,,1 contribution,1 helpful vote,Cape Town Central - London,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r863069709-Kenya_Airways-World.html,Nightmare,Date of travel: September 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
Worse service. 6 hr delays with no update from kq seats tiny and rock hard avoid at all costs no customer service or even awareness,,https://www.tripadvisor.com/Profile/francesbR6196IM,frances b wrote a review Oct 2022,frances b,,1 contribution,1 helpful vote,Cape Town Central - London,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r862929423-Kenya_Airways-World.html,Appalling avoid,Date of travel: October 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"We opted for an economy comfort seat for a surcharge.  Not sure what this offered  as it was still cramped and uncomfortable.  As it was chilly I had to ask for a blanket.  The entertainment system wasn’t fully functioning so I was relieved that I had my iPad.  We were served a breakfast…….overcooked egg, sloppy spinach and tomato with a stale bread roll.  4 hours on, when no drinks had been offered I began to feel dehydrated so rang the bell 3 times.  Eventually a stewardess attended and I asked were they going to serve drinks as I felt dehydrated.  She came back with a juice.  I then asked twice for a lager.  The steward looked at his watch and after a little while brought me one.  A few more hours went by and a packet of nuts was given out with a drink.  Since we had been on the plane for hours this was something.  Over Italy we were served a luke warm chicken dish which normally I would have returned but I could have eaten a scabby horse so picked through it.  The crew were unfriendly and only seemed interested in the front cabin.  I will be looking at other options next time.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e4/2d/default-avatar-2020-48.jpg,https://www.tripadvisor.com/Profile/Happiness828037,Happiness828037 wrote a review Sep 2022,Happiness828037,,58 contributions,5 helpful votes,Nairobi - London,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r862328940-Kenya_Airways-World.html,Very uncomfortable flight,Date of travel: September 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
This airline has been failing for a decade and it needs to be put down so it no longer disappoint customers. Paid almost $800 to fly 700 miles from Nairobi to Addis Ababa return. The flight was delayed by one hour from Nairobi and it seems like it will be delayed by three hours on the return leg. Worst than the delay is the lack of public information telling us about the situation and updates. There is not even a word of apology. I forgot to collect my laptop from the baggage check belt also at Nairobi and when I went back to enquire it was missing gone probably stolen by an employee to make up for their very poor pay. I will never travel Kenya airways again. Never!,https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/de/e7/default-avatar-2020-37.jpg,https://www.tripadvisor.com/Profile/JimmI245,Norris James wrote a review Sep 2022,Norris James,"Pinner, United Kingdom",1 contribution,,Addis Ababa - Nairobi,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r861562354-Kenya_Airways-World.html,Mr,Date of travel: September 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"Used Kenya Airways for a three stop journey from Heathrow to Amsterdam, the first leg of the journey was with KLM with no problems. The next leg was from Amsterdam to Nairobi followed by an onward leg to Dar Es Salaam. We were assured on more than one occasion that our luggage would go straight through from Heathrow to Dar Es Salaam. on arrival we went to collect our luggage only to be told it was still in Nairobi, eventually we managed to speak to a manager over the phone who told us our luggage would be sent out on the next plane and assured us it would be sent to our hotel which it did at 21:30, during that time we spent the day in our hotel room in the clothes we had been in since leaving home.
We left Dar Es Salaam early next morning for our safari holiday.
Holiday over and at Dar Es Salaam airport for our return flights this time to Nairobi then straight through to Heathrow. The Business class lounge was clean and well run, a chap by the name of Dough is worth a mention he was polite, helpful and did everything to ensure we were looked after.
The leg from Dar Es Salaam to Nairobi was quite short and went without a hitch.

The lounge in Nairobi was extremely poor, the food was low standard and running out , one passenger asked if there was more food coming and was shouted at saying ""it's coming man"" , I think the passenger was in shock As so was I, he wished me good luck and walked off.
Lounge tables were left uncleaned and dirty crockery from other passengers not cleared.
While in the lounge I took a shower to freshen up, the towel given to me was worn out and covered in holes and the water didn't regulate so I had a cold shower.
We boarded our aircraft for our final leg to the UK, not long after takeoff we were given breakfast, a little better than what you would expect in economy but not good enough for business class, this was really the last time we saw a stewardess until lunch which was no better, as they drew the curtains and stayed behind them, as we were just behind the bulk head, I did notice a stewardess through the curtain flossing her teeth.
Not once did anyone come around and offer water or a drink even though it was a long journey.
The toilets were not kept cleaned and the floors wet, there were also passengers coming through the business class from economy to use the toilets without being stopped, I don't want to sound snobby but this is what we pay a lot extra for.
The entertainment was also poor, no games and the films and programmes very old.
We have travelled on several business class airlines and none as bad as this, not even a smile from the disinterested staff.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f3/7c/default-avatar-2020-29.jpg,https://www.tripadvisor.com/Profile/E2114OFpeterk,Peter K wrote a review Sep 2022,Peter K,,15 contributions,1 helpful vote,Amsterdam - Dar es Salaam,International,Business Class,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r861527851-Kenya_Airways-World.html,Worst ever,Date of travel: September 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"Old an stinky airplane. Wings were secured with tape! Got SCAMMED with an “upgrade“, that was none. When complaining about it they didn‘t care at all. Very bad customer experience. First and last time we‘ve chosen this bad airline!",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/77/ae/default-avatar-2020-2.jpg,https://www.tripadvisor.com/Profile/Mattia_Ita_92,Mattia wrote a review Sep 2022,Mattia,Switzerland,7 contributions,,New York City - Nairobi,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r861201259-Kenya_Airways-World.html,Never again!,Date of travel: September 2022,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
