Heading,Body,Star Rating,Date
Never paid what we agreed upon for delayed luggage,"My family of 4 flew from Gothenburg to Nairobi in Dec 2023. When arriving to Nairobi 3 of our 4 bags where missing. They arrived 2,5 days later and since we were already out on a safari in Masai Mara, we had to pay extra money to have them flown out to the camp.After the vacation when returning back to Gothenburg, all 4 bags where lost again and returned to us a couple of days later. We immediately filed a complaint which (after several reminders) took the customerservice a couple of months to answer. We agreed on an amount per lost bag and sent them the documents that they requested to finish the refund. Then - no reply for another couple of months before an agent contacted us to request somewhat the same documents for a second time. That was mid-June. We have now sent the requested documents again + several reminders to the customerservice, just to find that they have now blocked our emailadresses completely. I guess their strategy is to wear our the customer by not answering at all, so that they don´t have to pay the claim. The worst customerservice ever! We have flown longdistance many times with many different airlines, and this handling of our errand is by far the worst we have ever experienced!",1,2024-07-09T10:35:17.000Z
The most disgusting horrible airline,"The most disgusting horrible airline! I feel sick thinking about Kenya Airways. Absolute shameful rubbish company, they have lost my bag and it’s been 2 weeks and still no update! They have either stolen or lost it and not been bothered to find it or keep me updated. Keep fobbing me off with excuses. Don’t ever fly with them. Hope karma reaches this airline.",,2024-06-20T23:03:44.000Z
Kenya Airways made me waste time on my…,"Kenya Airways made me waste time on my holiday for no reason at all.I checked into my flight using their mobile app, but when I got to the airport the boarding pass from their mobile app was NOT being recognised.I was told mobile boarding passes are not valid, but they have to be printed on paper.I had to go to the check-in desk and check in again.",,2024-06-07T22:43:46.000Z
The most unhelpful ground staff only…,"The most unhelpful ground staff only attitude without gratitude ,rude crew members ,ac not workingKindly avoid airlines we have multiple other choicesThis choice was a blunder",,2024-06-06T17:00:59.000Z
Kenya Airways left 32 children sleeping on the floor airport,"Kenya Airways left 32 children aged 10 to 16 stranded in Jomo Kenyatta Airport overnight. Due to unexplained delays. The group wasn't offered water and food for 6 hours, no hotel offered or emergency beds. Children had to sleep in the closed airport on the floor for the night. A two times 1 hour trip from Tanzania via Nairobi to Entebbe took 26 hours. One meal voucher was the only concession.",1,2024-05-27T20:34:16.000Z
Worst Airline ever,"First of all, my name is Emmanuel.Kenyan Airways is the worst airline to fly with. The service is disgusting, and they don't give a damn about their customers. Air Mauritius flew me and my brother from Perth, Western Australia to Mauritius. Kenya Airways was supposed to pick us up from Mauritius to Ghana and then to Liberia. They later canceled our flight and put us on Emirates, and from Emirates, they transferred us to a flight called Asky. Since we arrived in Liberia on the 28th of May, we haven't received our suitcases yet. We have been following up for a long time, but we are still getting the same story every day. My advice to international travelers: if you want to reach your destination without any issues such as bad service and lost luggage, stay away from Kenyan Airways. They are very bad at everything.",,2024-06-02T15:03:12.000Z
"Lost bags, cancellations, avoid",Flew LHR to Lilongwe Malawi and they didn’t load my bags onto the connecting flight. 25 people on my flight didn’t get their bags. Each day I returned there were 20+ new people without bags. I did get them back but only when nearly ready to return home. Spoiled the whole trip. Cancelled my return flight home. Offered no compensation or recompense for extra expenses…. Still trying to get some money back for all the extra cost and hassle. Not hopeful.,,2024-06-06T17:05:08.000Z
Don't use this airline,"Don't use this airline! Turned up at Mombasa airport at 2.30am to be informed ticket had been suspended (i.e. cancelled). Had to pay an additional £2,100 to get home and spent two nights sleeping in an airport. No warning given and yet every time we flew they sent an email trying to sell us upgraded seats. They couldn't even be bothered to send an email about the ticket being suspended, which would have prevented the problem.  No refund given despite the airline selling the seats again. They have effectively collected twice the cost and would only refund the £60 tax!  They have no interest in consumer protection nor do they have any interest in treating customers fairly.  Quite frankly, they are a disgrace to an otherwise lovely country. If you go there use a UK/EU carrier and avoid Kenya Airways at all costs!!!",,2024-04-23T18:54:36.000Z
AVOID Kenya Airways AT ALL COSTS,"Kenya Airways, the pride (tribe) of Africa.Avoid this Airline at all costs.Booked a business trip frpn Stockholm to Zanzibar to treat myself for my 50th birthday.The day before departure, cancellations from London to Nairobi, meaning that I would arrive 1 day later on my 10 day trip, according to customer service (phone to nairobi, (no mail, no chat), no other opitons. I found myself a route that worked, and phoned again giving them all fligh numbers etc, after aprox- 5 hrs on phone with 10 different agents (they run some kind of non working ip phone that cuts off) I was finally booked.On returning, the flight from Zanzibar was changed, managed to fix that. The day after on my way (on my 50th birthday btw) my flight to London was cancelled. Flew through amsterdam, When flying from Amsterdam I was downgraded to economy.On returning i noticed that my bonus points were not coming, mailed them numerous times, no answer. Finally contacted KLM , their alliance partner today, 2 months after, and resolved that. Had to flyt to london, then masterdam, then nairobi-zanzibar to reach my destination instead.AVOID THIS AIRLINE AT ALL COSTS, NO MATTER HOW CHEAP THEY ARE. I feel really sorry for the on-board crew.",1,2024-06-04T10:05:17.000Z
Missed connection in Nairobi was…,"KGL to BKK via NBO. Missed connection in Nairobi was handled fairly well. They rebooked me to Doha or Amsterdam, I took the latter to gain more XPs into Flying Blue Programme. Luggage arrived with difficulties",1,2024-02-17T05:27:45.000Z
KQ271,"My experience with Kenyan Airlines was deeply disappointing,A last second cancelled flight left me stranded, plans disjointing.No prior notice, no alternative arrangement made,Leaving passengers bewildered, feeling betrayed.Customer service lacked empathy, responses delayed,Compensation process unclear, leaving me dismayed.For future travelers' sake, improvements are desperately needed,To ensure reliability and trust, with grievances heeded.Just don’t be cheap and book with them it’s not worth the stress and you will pay more in the long run. Will never fly with them again",,2024-04-26T08:44:19.000Z
Really really poor service,"Really really poor service.  Flight into Nairobi delayed but still in plenty of time to make connecting flight.  Refused boarding as Kenya Airways had rebooked my flight without informing me. Rebooked into another delayed flight and stranded at airport with no hotel provision, inadequate food and no phone calls.  Staff not interested in customers.  Finally arrived home 10 hours later and also with no bags.  Bags then took another 5 days to be delivered.  Still waiting on any response from customer services over 2 weeks later….will avoid at all costs now",,2023-12-29T22:56:36.000Z
Cancelled flight told I would get a…,"Cancelled flight told I would get a refund after  charges in  20-30  business working days ... 45 days later  nothing  and u  dealing  either with  a chatbot  , a staff member  who will cut  u  off after  15 mins .. really  poor customer service .",,2024-05-01T10:26:44.000Z
Delayed over 2 days getting home,Delayed over 2 days getting home. Spent 5 hours getting from Nairobi airport to hotel - no help from staff. Luggage then lost. Same experience for friends who travelled 1 day before. Customer service lines not functioning to offer any help. Avoid at all costs,,2024-02-29T22:01:52.000Z
I have flown a few times with Kenya,"I have flown a few times with Kenya, and generally found them okay for the price and convenience. Unlike the Middle East Airlines, they try to solve problems when they happen. They don't have the same service guarantees as European Airlines but unlike European Airlines (Lufthansa) they have never left me stranded, so I haven't got anything to complain about, apart from the very small seats, and the enormously fat woman who sat next to me on my last flight, and kept invading my space. The flights are usually full, which makes them less polluting per passenger, but it does mean no space for changing seats.",,2023-11-17T11:51:32.000Z
Matches all our expectations,All our flights were on time and service was good and as expected. Nothing to complain about this airline. Service was reliable and we always found someone available for questions. Better than many other airlines,,2024-03-05T18:47:10.000Z
"John Wayne is amazing,",I had amazing service with one of the cabin crew team by names of John Wayne 5* customer care 😊.However I was disappointed by the system not letting me check in my flight KQ 101.Kenya airways allocated me a seat (16H) which I wouldn’t have chosen if was allowed to check in myself.,,2023-11-02T19:00:39.000Z
"Bad airline ,no respect for clients","The flight to nairobi was bad,the staff not friendly ,after more than 3 hours 1 drink and total only 3drinks!!payed extea fir 2 seats to sit togerher,but they seperted us,so i payed a extra 240 dollar f or 2 seats,and they still refused to pay back the 50 euro i did payed forvthe 2 seats i did not get,i booked it wuth amadeus and they send 3 urgent request to them but no responce,the name must be THE SHAME OF AFRICA!!",1,2024-03-24T18:38:18.000Z
We won't ship with. KENYA AIRWAYS ANYMORE,"We ship from India to Sierra Leone with Kenya airways, there staff in Sierra Leone, mr. Panda is very unprofessional doesn't respond on email and phonecards, when you finally reach him he lie that he is out the country when he is just there. We won't ship with Kenya Airways anymore.",1,2024-02-26T11:47:35.000Z
Flight was cancelled last minute with…,"Flight was cancelled last minute with no instructions on what to do. Eventually flight rescheduled, 24 hours later, literally dumped at the hotel with no further instructions. Food on plane was not good at all. Then friend did not receive her 1 suitcase. All round a terrible experience and will not use Kenyan airlines again",1,2023-06-01T21:23:14.000Z
What a nightmare,What a nightmare. The plane departed late from Johannesburg to Nairobi. Only to get to Nairobi and my transit flight to Dubai had left us without any explanation from Kenya Airways. We had to wait 5 hour at the JK International Airport for a placement by Kenya airways into a hotel. We lost money on our excursions in Dubai for having an entire day wasted in a hotel in Nairobi.,,2023-12-07T10:16:20.000Z
Delay de 24h,"Delay de 24h, no refund of extra fees / Retar-d de 24h, pas d'indemnisation d'extra fraisFlight delay of 24h, no compensation for the night and meals.Bad communication for information delay. No email received.Gave no reason of the delay.Moreover, estimated meals of 50 passengers and the company  had only 20! Strange…Staff not welcoming and friendly.––––––––––-Retar-d de vol de 24h, aucune indemnisation pour la nuitée et les repas.Mauvaise communication pour l’information du retar-d. Aucun email reçu.La compagnie n’a donné aucune raison du retar-d.De plus, les repas étaient estimés à 50 passagers et la compagnie n'en avait que 20 ! Bizarre…Personnel peu accueillant ni sympathique.",,2023-10-14T20:21:54.000Z
NO COMPASSION,"Am a wheelchair user and I was travelling through JKIA from London travelling with my carer.  When I arrived at Nairobi I went to the business class lounge, but I was told my carer could not go in unless she paid $40!  Even though I was travelling business class, as a disabled person I thought they would allow my carer to come in with me but they refused!  I ended up having to wait for more than 2 hours at the gate!!",,2024-04-01T04:49:35.000Z
"Paid for the prime seat, got nothing",Booked a ticket and paid extra for a seat at the front of the plane where the middle seat was supposed to left unoccupied. Got on board and instead of actually honoring this arrangement Kenya Airways crammed as many people as possible into the plane and I was stuck next to a guy that smelled of horrible body odor on an overnight flight.Popped in my noise cancelling earbuds and tried to sleep anyway. Flight crew woke me up and insisted I had to eat a crappy meal at 10pm.Will never fly Kenya Airways again.,1,2023-11-04T23:00:31.000Z
4 out of 5 flights canceled,4 out of 5 flights canceled in the last six months. No compensation. They refused to pay even for meals and accommodation.,4,2024-06-18T15:06:34.000Z
I’m so shocked they don’t have 5*…,"I’m so shocked that they do not have 5* reviews because my trip with them was beautiful!Firstly my partner and I checked in late so we weren’t sitting next to each other. There was a wonderful worker Sumbal, who went above and beyond to help us get seated together AND gave us extra leg space at no additional cost!Me and my partner are vegan and they provided beautiful meals, plenty of drinks and the staff were cheerful and polite.I absolutely loved their attire too! Very beautiful!I would fly with them every single time I left the country if I could. Punctual planes, great staff! Incredible food!",,2023-04-07T13:04:45.000Z
Terrible customer  service,"Terrible customer  service, I booked my flight through  their website. I took the flight with departure at 6 am , and they sent me the reservation with the departure  hour at 6pm. I contacted  them to modify it and they haven't reply my emails l. I talked  by WhatsApp  and they replied  with a lot delay,  to say me  they can't solved it because  it was my mistake,  they haven't offer any solution",,2024-02-08T11:40:24.000Z
KA should not be in the flying business,"Without any exaggeration: Worst airline ever… before actual departure, no less than 5 flight changes with no respect for travellers consequences. Not a change of hours but days! Even on the return flight just before departure, we get a flight change resulting in a unexpected stay over at Nairobi airport for 13 hours!Lost our baggage on the over and broken suitcase on the way back. Separate check ins for connecting flights, and not the friendliest kind of staff. Not good, KA should not be in the flying business and I doubt they will for long.",,2023-07-10T11:29:05.000Z
If it were possible to give 0 stars I…,"If it were possible to give 0 stars I would. Five hour delay in Nairobi for a flight to Johannesburg - no information, nothing. In Johannesburg no one was waiting to advise those who had missed connections and were stranded overnight.  Eventually overnight accommodation was provided in a very poor conference venue (Birchwood) requiring a 45 minute wait for a shuttle and a fifteen minute journey. NEVER again will I set foot on a Kenya Airways plane. NEVER",4,2023-07-21T21:44:11.000Z
Kenya Airways is an amazing airline,"Kenya Airways is an amazing airline.  This was the first time we travelled with Kenya airways, woow the services are great, stewardess were excellent, food was excellent, everything about Kenya airways was amazing.  We are giving Kenya airways 5* from the bottom of I have been flying with BA which is the worst airline.  Keep up with the excellent services.  Thank you very much",5,2022-08-05T20:48:58.000Z
OMG NO!,"OMG, OMG, OMG these are to be avoided at ALL COSTS. Cancelled flight abandoned at Nairobi with no visa, no help and no customer care. Rescheduled with a 40 hour delay. OMG no refund or compensation available, Kenya you are a disgrace to Africa. NEVER again. Holiday from hell ruined",,2024-03-01T11:37:15.000Z
Joburg-Nairobi-Amsterdam 26-27 June…,"Joburg-Nairobi-Amsterdam 26-27 June 2024 on Boeings 787-800. Checked in online from Rwanda and came to Joburg in transit for positioning. I arrived very early and would have to spend some 10-12 hours in the airport. However, the Kenya airways staff at the JNB transfer desk, a Ms. Nosisi, was kind, talkative, and very cooperative allowing me to depart on a 7 hours earlier flight. I then would avoid excessive time in JNB a tight onward connection in Nairobi. She did this, without any pay for ticket change, BP renewals, and retagging the luggage. I even got a much greater trip on a Dreamliner instead on my scheduled B737, which was another win as they have wide lie-down seats. My only cost was to forsake a preordered meal. The SAA lounge in JNB is gorgeous, impressive, and world class, now used by Skyteam, Star Alliance, and a number of airlines, as SAA have very few flights these days. The catering, bar, tarmac views, and space are all worldclass. From Kenya Airways, Ms. Nosisi, even came up to the lounge to find me in person to confirm my new boarding. She assured me that the inscribed luggage had passed security check and was onboard this earlier flight. Boarding easy though had to stand 25 Minutes in an airbridge, until the cabin was fully ready. Onboard, seats, and IFE was fully functioning. Catering was good and preordered meal accommodated on the last leg. Plenty of drinks of acceptable standard, though nothing extravagant. Only Tusker beer is offered; it’s of poor quality. Food tasty, well presented and extra hot dishes given on request. One meal service when going to Nairobi (4 hours flight) and two meal services while going to Amsterdam (8 hours). Pre-departure champagne is still their beloved JB Gobillard. FAs are good, attentive, and caring. Drink offerings onboard appear to be generous/unlimited. WiFi onboard useless. IFE fairly good. Transfer/transit in Nairobi went smooth, though we had to disembark by busses in the middle of night. The busses got filled, no premium toward business class nor Skyteam priority. Security checks quick. Pride lounge is good but was full, likely due to their new Asante Awards FFP with status match of elite-fliers offered widely, granting excessive access to the lounge which are now used at absolute maximum capacity. I watched the UEFA 2024 football tournament on TV; eventually, I even got a bed in the sleeper section to recharge for my next flight in the morning. Woke up early and got a lovely breakfast and shower prior to boarding to AMS was not very far from the lounge, all went smooth and on time. This flight to AMS had more perks than the previous. I got one more hot meal service round, amenity kit, mattress, etc. Arrived at Amsterdam as scheduled, and continued with their partner, KLM. Cooperation with KLM is still smooth despite that KQ has left Flying Blue Luggage transferred correctly. Ticket promotional, rendering value for money. Miles given quickly. Will fly again.",,2024-06-27T19:31:30.000Z
Kevin from Kenya airways,"Kevin from Kenya airways helped me a lot with changing the tickets to Zanzibar, I contacted them by mail snd got reply the next day. Otherways company’s customer service by phone is non exsisting. But Kevin saved my trip.",,2023-08-16T17:44:59.000Z
Consultants don't answer your questions,"As the Kenyan airport app would not allow me to check in, tried to communicate with consultant brilliant via WhatsApp, did nt confirm my request to confirm i am 9n the flight as booking made through 3rd party, not worth the stress, still don't know of I m.on the flight..fly in one days time, just not worth the stress. I would suggest flying with another airline.",,2023-02-28T22:01:18.000Z
shambolic Kenya Airways…,"Kenya Airways is the most pathetic airline. They are in partnership with KLM which refused me to board the flight, asking me for a Kenya transit visa even though I was meant to spend only an hour at Nairobi. Refunding my money has become a huge problem. Do not take Kenya Airways, please look for other altenatives if possible",,2023-09-22T18:51:39.000Z
Flights got cancelled 2 times.,Flights got cancelled 2 times.. one Time on the route from Paris to Nairobi and the same plane back from Nairobi to Paris. Doesn't seem like a safe company.That was last year in March. i still haven't received any compensation for that (regarding to EU passenger flight rights).,,2024-04-16T13:54:04.000Z
The luggage was lost,"The luggage was lost. I was attending wedding in Tanzania and the luggage didn’t arrive until after the wedding. Be aware of the ground staff and your personal belongings. They are too keen to look through your handbag. I had my handbag opened because the lady scanning my bag wanted me pay her some money. When refused she took my purse away from me which had small amount of cash and my bangle. My husband had to step in and with help of other tourists, I got my stuff back",,2024-02-16T15:40:15.000Z
KENYA AIRWAYS RIP OFF!,"Lost a flight as was not aware until checking in with rude and unhelpful kenya airways staff at Heathrow airport that I now needed an ETA visa to travel back to my own country of kenya,ETA website was useless and couldn’t arrange visa on line so had to give upTried to ring kenya airways to see if I could rebook flight and was on hold for over an hour until phone went flat(NO ONE EVER ANSWERS!)had to cancel flight when I got home only to find out if I could have spoken to someone that I could’ve changed flight date!Rung kenya airways the next day another hour long wait on phone only to be told no chance of changing the flight departure,I will cancel the return flight and will NEVER USE KENYA AIRWAYS AGAIN AND IM KENYAN.REFUND,I would like to add also that if you have to cancel a flight with kenya airways even 2 weeks or more in advance that you get virtually NOTHING BACK!!!And they will probably sell the seat/flight you cancelled to someone else!!!",1,2024-05-10T10:37:22.000Z
no reclaim for delay,"29. februar 2024Reclaim for delayI went from Nairobi to Heathrow 26. February, on my way to Copenhagen.  Due to the delay I did not catch the plane to Copenhagen.There was a lot of trouble getting another booking and very little help.  We had to move from one terminal to another until eventually we got the boarding-card.  No offer of any serving which we were entitled to have.  The delay was around 7 hours hence we are entitled to get a compensation of 600 Euro.I sent all the relevant boarding-cards and timetable as prove.I sent my claim to Kenya airways and got a standard answer.  I tried several times to get a proper answer but all in vain.  I had to start over again all the time with a new reference-number.After 3 month I got the final answer that according to some paragraph they were no entitled to give me any kind of compensation.  Nothing at all.I will avoid going with Kenya airway.  The plane itself also seemed to be in a poor state.  We had ordered a seat with extra room for legs, and there the screen did not work.  They pretended that they could restart it and see if it would work.  It was quite clear that it has not been working for a very long time and they just pretended it was a now thing.  Appologies and no reclaim here either.",,2024-06-13T20:39:14.000Z
Horrible treatment at the Lagos Airport,"Staff at the Lagos Airport, in particular Mr. Orasulume, didn't let me into the airplane because they couldn't find my onwards ticket. I showed the ticket to them, but they refused to accept it without reason! The whole staff was aggressive and not willing to help in the slightest. Extremely unprofessional.The Whatsapp customer support was useless. I was able to get half a refund by applying online, however.",,2024-03-21T15:19:09.000Z
WORST AIRLINE IN THE WORLD.,"WORST AIRLINE IN THE WORLD.Horrible service, untrained and disrespectful cabin crew . Everything about this airline, from a dirty plane, to horrible uncooked food, disgusting toilets (Cabin crew said they will not clean the toilets as its not their job).At this rate, There is little hope for this airline to survive.NEVER FLY WITH KENYA AIRWAYS",,2023-09-01T13:54:22.000Z
Forced to sleep with a baby in the waiting area,"4 hour delay which meant we missed our flight to Paris from Nairobi. This resulted in a promise about Hotel stay overnight, a dinner and transportation to and from the hotel. After waiting an hour we were told, that the hotel wasn’t an opportunity but that we could have a free meal. We couldn’t get a discount on staying in the lounge, and therefore had to stay in the airport waiting area overnight with three children aged 0, 3 and 5. It is simply a disgrace!",4,2023-10-28T05:58:09.000Z
Do not give refund despite overbooking flights!,"Paid for a flight at the airport to fly out shortly after. Only to be immediately put on standby because they overbooked the flight. When asking for full refund, they hold $5000 for 45 days (and still not received) and only offer of refund was with a NO SHOW FEE deducted despite being at the airport when making the booking! Frankly unacceptable behaviour and no urgency to refund in full. Strongly advise to never book with this airline!",5,2023-02-25T16:11:34.000Z
Surprised about the amount of negative reviews,Our flight from Amsterdam to Nairobi has been canceled due to technical issues. We contacted Kenya Airways directly after our holiday and they replied within a day confirming they will pay the compensation and expenses. We had to wait 30 working days for the money to reach us but it did in the end and the claim was hassle-free in comparison to EU airlines.,,2022-10-08T16:57:30.000Z
Will not take responsibility for their admin error and I have to pay as a result!,"Used travel agent called Travel Up to book airline tickets with Kenya Airways. The return dates were incorrectly input by Kenya Airways and e-ticket issued without Travel Up checking the dates. Now, I have to pay for the changes back to the correct date. First and Last time I will fly with Kenya Airways. Disgraceful attitude and not customer focussed at all and above all, will not take responsibility for their own admin error and happily pass a cost to the customer to rectify their error!",,2022-07-15T12:34:04.000Z
I had to cancel my trip to Kenya (Kenya…,I had to cancel my trip to Kenya (Kenya Airways) due to personal reasons. MyTrip.com started the process 6 weeks ago. I have now rang Kenya Airways and MyTrip multiple times to get an update and they are both blaming each other. Kenya Airways stance is that MyTrip should refund the money and the get the money off the airline and vice versa.Kenya Airways don't have an ADR so will need to complain to the Civil Aviation Authority directly.My advice is to never use MyTrip as a booking agency or Kenya Airways as an airline of choice. A complete shambles and almost impossible to get your money back.Horrible experience!,,2023-12-04T12:26:55.000Z
RUN !!!!,"RUN !!!!! WORST EXPERIENCE EVER AND NO ANSWER FROM THE CUSTOMER SERVICE !!!After a 4 hour delay on our first flight, Kenya Airways cancelled our second flight and never refunded us!!! We had to sleep at the airport to catch another flight in the morning and no agent of Kenya Airways was here to help?",1,2023-10-27T15:08:13.000Z
Worst airline I've ever flown with,"Worst airline I've ever flown with, never again!  changes flight times without giving any information and then doesn't even come for the problems you have because of their mistakes!  Does not accept receipts and will not give compensation, only gives travel voucher.  AWKWARD.  I had spend 500 euros more due to their error because they failed to inform me of the new flight times and do not even want to refund part of it.  They would reimburse me a measly 20-40 dollars.  I will never fly with this inept airline again!",1,2023-03-24T16:36:06.000Z
Booked a ticket,"Booked a ticket, payed but never got the ticket. Waited for a few days but still no ticket so had to make an international call to Kenya Airways to ask for the ticket which they then emailed, but had to pay extra for the international call...KMT",,2023-03-31T11:30:49.000Z
No customer service during strike,No customer service during strike. We are stranded but Kenya Airways doesn’t care. In stead of arranging a hotel. We have to do on our own. So disgraceful. Have asked for compensation but no answer for about1 month. Avoid at all cost. Fly aflyst ingen kompensation venter mere end 1 mdr. de svarer ikke tlf.,,2023-01-10T03:07:08.000Z
Dreadful customer service they just…,Dreadful customer service they just don’t careFly business class Nairobi to HeathrowBoth my wife’s and my inflight entertainment didn’t work - there was no choice of foodI wrote to customer services and they are not interestedDreadful airline,,2023-08-28T21:55:42.000Z
Worst airline to fly with full stop,Worst airline to fly with full stop. Food was disgusting some sort of spaghetti in sweet sauce small like a kid meals and had to let the cabin crew know there was 2 kids with chicken pox came abroad so no one bothered to check them out before letting the family on board until I reported it then they got the health authority and police to remove them  no air con nothing absolute disgusting would never ever fly kenya airways at any cost. Not a pleasant trip.,,2022-04-03T12:36:45.000Z
Cancellations without compensation for 32 hour delay,"Unsmiling staff for a start.  My husband became ill on the outward flight and they took absolutely no notice.  Be warned, the sick bags have tear off strips at the top!  Impossible to open in an emergency.  Cancelled our return flight without any reason being given (several other flights also cancelled at the same time from Nairobi) and we had a 32 hour delay.  Lost one of our bags and we did not get it back for 6 days.  You need a visa to go into Nairobi to stay overnight in a hotel.  This took 4 hours to organise.  We were absolutely exhausted without sleep for 36 hours.  Do not consider flying with  this airline.  The only compensation we were offered was a voucher only to be used in purchasing Kenya Airways tickets.  Guess who won't be using those.",,2024-02-05T11:57:55.000Z
